Signature,Proposed_Aetiology,Link,Collection
DBS17,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs17,DBS
DBS18,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs18,DBS
DBS19,Unknown,https://cancer.sanger.ac.uk/signatures/dbs/dbs19,DBS
DBS20,Aristolochic acid exposure,https://cancer.sanger.ac.uk/signatures/dbs/dbs20,DBS
DBS14,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/dbs/dbs14/,DBS
ID1,Slippage during DNA replication of the replicated DNA strand,https://cancer.sanger.ac.uk/signatures/id/id1,ID
ID2,Slippage during DNA replication of the replicated DNA strand,https://cancer.sanger.ac.uk/signatures/id/id2,ID
ID3,Tobacco smoking,https://cancer.sanger.ac.uk/signatures/id/id3,ID
ID4,Unknown,https://cancer.sanger.ac.uk/signatures/id/id4,ID
ID5,Unknown,https://cancer.sanger.ac.uk/signatures/id/id5,ID
ID6,Defective homologous recombination DNA damage repair,https://cancer.sanger.ac.uk/signatures/id/id6,ID
ID7,Defective DNA mismatch repair,https://cancer.sanger.ac.uk/signatures/id/id7,ID
ID8,Repair of DNA double strand breaks by NHEJ or mutations in TOP2A,https://cancer.sanger.ac.uk/signatures/id/id8,ID
ID9,Unknown,https://cancer.sanger.ac.uk/signatures/id/id9,ID
ID10,Unknown,https://cancer.sanger.ac.uk/signatures/id/id10,ID
ID11,Unknown,https://cancer.sanger.ac.uk/signatures/id/id11,ID
ID12,Unknown,https://cancer.sanger.ac.uk/signatures/id/id12,ID
ID13,Ultraviolet light exposure,https://cancer.sanger.ac.uk/signatures/id/id13,ID
ID14,Unknown,https://cancer.sanger.ac.uk/signatures/id/id14,ID
ID15,Unknown,https://cancer.sanger.ac.uk/signatures/id/id15,ID
ID16,Unknown,https://cancer.sanger.ac.uk/signatures/id/id16,ID
ID17,Mutations in topoisomerase TOP2A,https://cancer.sanger.ac.uk/signatures/id/id17,ID
ID18,Colibactin exposure (E.coli bacteria carrying pks pathogenicity island),https://cancer.sanger.ac.uk/signatures/id/id18,ID
ID19,Unknown,https://cancer.sanger.ac.uk/signatures/id/id19,ID
ID20,Unknown,https://cancer.sanger.ac.uk/signatures/id/id20,ID
ID21,Unknown,https://cancer.sanger.ac.uk/signatures/id/id21,ID
ID22,Unknown,https://cancer.sanger.ac.uk/signatures/id/id22,ID
ID23,Aristolochic acid exposure,https://cancer.sanger.ac.uk/signatures/id/id23,ID
CN1,Diploidy,https://cancer.sanger.ac.uk/signatures/cn/cn1,CN
CN2,Tetraploidy,https://cancer.sanger.ac.uk/signatures/cn/cn2,CN
CN3,Octoploidy,https://cancer.sanger.ac.uk/signatures/cn/cn3,CN
CN4,Chromothripsis,https://cancer.sanger.ac.uk/signatures/cn/cn4,CN
CN5,Chromothripsis,https://cancer.sanger.ac.uk/signatures/cn/cn5,CN
CN6,Chromothripsis before whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn6,CN
CN7,Chromothripsis associated amplification,https://cancer.sanger.ac.uk/signatures/cn/cn7,CN
CN8,Chromothripsis associated amplification,https://cancer.sanger.ac.uk/signatures/cn/cn8,CN
CN9,Focal LOH - diploid and chromosomal instability,https://cancer.sanger.ac.uk/signatures/cn/cn9,CN
CN10,Focal LOH - 1x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn10,CN
CN11,Focal LOH - 2x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn11,CN
CN12,Focal LOH - chromosomal instability and 1x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn12,CN
CN13,Chromosomal LOH,https://cancer.sanger.ac.uk/signatures/cn/cn13,CN
CN14,Chromosomal LOH - 1x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn14,CN
CN15,Chromosomal LOH - 2x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn15,CN
CN16,Chromosomal LOH - chromosomal instability and 1x whole genome duplication,https://cancer.sanger.ac.uk/signatures/cn/cn16,CN
CN17,Tandem duplication and HRD,https://cancer.sanger.ac.uk/signatures/cn/cn17,CN
CN18,Unknown,https://cancer.sanger.ac.uk/signatures/cn/cn18,CN
CN19,Unknown,https://cancer.sanger.ac.uk/signatures/cn/cn19,CN
CN20,Unknown,https://cancer.sanger.ac.uk/signatures/cn/cn20,CN
CN21,Unknown,https://cancer.sanger.ac.uk/signatures/cn/cn21,CN
CN25,dMMR,https://cancer.sanger.ac.uk/signatures/cn/cn25,CN
CN22,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/cn/cn22/,CN
CN23,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/cn/cn23/,CN
CN24,Possible sequencing artefact,https://cancer.sanger.ac.uk/signatures//signatures/cn/cn24/,CN
RNA-SBS1,ADAR activity,https://cancer.sanger.ac.uk/signatures/rna-sbs/rna-sbs1,RNA SBS
RNA-SBS2,RNA editing activity of APOBEC3A,https://cancer.sanger.ac.uk/signatures/rna-sbs/rna-sbs2,RNA SBS
RNA-SBS3,Unknown,https://cancer.sanger.ac.uk/signatures/rna-sbs/rna-sbs3,RNA SBS
RNA-SBS4,Unknown,https://cancer.sanger.ac.uk/signatures/rna-sbs/rna-sbs4,RNA SBS
RNA-SBS5,Unknown,https://cancer.sanger.ac.uk/signatures/rna-sbs/rna-sbs5,RNA SBS
